Home,Away,1,X,2
Man City,Crystal Palace,1.20,6.80,15.00
Chelsea,Sheff Utd,1.20,7.20,13.00
Bournemouth,Luton,1.47,4.70,6.40
Newcastle,Fulham,1.90,3.75,4.00
Burnley,Everton,3.30,3.35,2.22
Valencia,Barcelona,5.00,4.20,1.65
Bilbao,Atletico Madrid,2.42,3.50,2.85
Napoli,Cagliari,1.36,5.40,7.80
Bandari,Muranga Seal,1.99,3.00,4.10
Kenya Police,Kcb,2.55,3.20,2.70
