Home,Away,1,X,2
Lazio,Bayern,4.90,3.95,1.72
Psg,Real Sociedad,1.64,3.90,5.80
Bologna,Fiorentina,2.36,3.20,3.20
Huddersfield,Sunderland,3.55,3.30,2.07
Plymouth,Coventry,3.35,3.75,1.98
Preston,Middlesbrough,3.15,3.35,2.21
Millwall,Ipswich,3.45,3.40,2.06
Stoke,Queens Park Range...,2.11,3.30,3.40
Jeonbuk,Pohang Steelers,2.16,3.20,3.40
Bangkok Utd,Yokohama Marinos,4.30,3.95,1.72
